iter	Passed	Remaining
400	31925	7881
401	32004	7802
402	32069	7718
403	32152	7640
404	32217	7557
405	32317	7482
406	32404	7404
407	32517	7332
408	32587	7250
409	32662	7169
410	32760	7094
411	32880	7022
412	32947	6940
413	33021	6859
414	33105	6780
415	33174	6698
416	33258	6619
417	33343	6541
418	33466	6469
419	33536	6387
420	33602	6305
421	33672	6223
422	33764	6146
423	33834	6064
424	33901	5982
425	33983	5903
426	34066	5823
427	34134	5742
428	34211	5662
429	34294	5582
430	34377	5503
431	34460	5424
432	34542	5344
433	34658	5270
434	34765	5194
435	34837	5113
436	34922	5034
437	35028	4958
438	35134	4881
439	35215	4802
440	35292	4721
441	35365	4640
442	35441	4560
443	35526	4480
444	35603	4400
445	35701	4322
446	35798	4244
447	35867	4163
448	35953	4083
449	36071	4007
450	36153	3927
451	36236	3848
452	36336	3770
453	36423	3690
454	36491	3609
455	36571	3528
456	36645	3448
457	36725	3367
458	36817	3288
459	36898	3208
460	36963	3127
461	37033	3046
462	37138	2967
463	37204	2886
464	37293	2807
465	37376	2727
466	37449	2646
467	37527	2565
468	37605	2485
469	37669	2404
470	37731	2323
471	37824	2243
472	37901	2163
473	37974	2083
474	38050	2002
475	38124	1922
476	38191	1841
477	38297	1762
478	38385	1682
479	38447	1601
480	38519	1521
481	38580	1440
482	38654	1360
483	38723	1280
484	38789	1199
485	38864	1119
486	38935	1039
487	38998	958
488	39101	879
489	39186	799
490	39294	720
491	39387	640
492	39458	560
493	39545	480
494	39619	400
495	39694	320
496	39837	240
497	39934	160
498	40009	80
499	40101	0
