iter	MultiClass
300	0.2873392441
301	0.2863293685
302	0.284890846
303	0.2838170424
304	0.2827763614
305	0.2812887186
306	0.2799957533
307	0.2792122091
308	0.2786166797
309	0.2777408534
310	0.2759915856
311	0.2747364835
312	0.2735054733
313	0.272751229
314	0.2718648336
315	0.2706867013
316	0.269550693
317	0.2694027722
318	0.2681275976
319	0.2662075976
320	0.2652549514
321	0.2648655048
322	0.2640801338
323	0.2630203681
324	0.2621913696
325	0.2612778044
326	0.2602924214
327	0.2592876246
328	0.2584208615
329	0.2574040926
330	0.2566327429
331	0.2563197954
332	0.2555525933
333	0.2542545023
334	0.2532710324
335	0.2527606571
336	0.2518744763
337	0.251391622
338	0.2504002048
339	0.2493926133
340	0.2487115324
341	0.2477515948
342	0.2470763674
343	0.2460102094
344	0.2455992773
345	0.24432009
346	0.2436474804
347	0.2428262498
348	0.242497542
349	0.2417168687
350	0.241014225
351	0.2400387359
352	0.2395166945
353	0.2390383097
354	0.238309495
355	0.2375204358
356	0.2367388785
357	0.2363074443
358	0.235507095
359	0.2345772741
360	0.2339105607
361	0.2326469999
362	0.2325178095
363	0.2320046276
364	0.2310880942
365	0.2300728217
366	0.2293448753
367	0.2285967016
368	0.2276372734
369	0.2269300571
370	0.2265216032
371	0.2255077663
372	0.2244690241
373	0.2235809038
374	0.2233016879
375	0.2227583549
376	0.2215975979
377	0.2206849725
378	0.2200461715
379	0.2191032928
380	0.2183677788
381	0.2175682875
382	0.217161465
383	0.2160810857
384	0.215025917
385	0.2142950532
386	0.2138416026
387	0.2134939327
388	0.2127238327
389	0.2119010056
390	0.2110860558
391	0.2105900958
392	0.2102909317
393	0.2093797004
394	0.2088577728
395	0.2082825924
396	0.2079069254
397	0.2072579242
398	0.2067468773
399	0.206137074
400	0.2055857676
401	0.2051839697
402	0.2048778386
403	0.2039359558
404	0.2033578805
405	0.2026245841
406	0.2021108487
407	0.2017692655
408	0.2013065089
409	0.2008077763
410	0.1998491688
411	0.1992038929
412	0.1988807051
413	0.1981426313
414	0.1976667385
415	0.1968919899
416	0.1958681197
417	0.1951981457
418	0.194805227
419	0.1941594568
420	0.1937108873
421	0.1932477195
422	0.1924928101
423	0.1920046485
424	0.191670428
425	0.1911370637
426	0.1904914467
427	0.1899190534
428	0.189638845
429	0.1890061612
430	0.1883433157
431	0.18760634
432	0.1873057366
433	0.1865652095
434	0.186001361
435	0.1850138124
436	0.1843324498
437	0.1837589803
438	0.183098009
439	0.1826694069
440	0.1817087905
441	0.1811017168
442	0.1805445116
443	0.179719691
444	0.1790236636
445	0.1786257855
446	0.1780661567
447	0.1775820452
448	0.1769274855
449	0.1764341927
450	0.1756564494
451	0.1750795469
452	0.1745737719
453	0.174244373
454	0.1737445804
455	0.1731490057
456	0.172776481
457	0.1720601611
458	0.1717634728
459	0.1714299652
460	0.1710085632
461	0.17049432
462	0.1701558987
463	0.1696246021
464	0.1694002721
465	0.1690110431
466	0.1683851698
467	0.1679801947
468	0.1675352369
469	0.1672626551
470	0.1669179773
471	0.1663908716
472	0.1661089225
473	0.1657418445
474	0.1652211114
475	0.1648847885
476	0.1643974085
477	0.1640048828
478	0.163464539
479	0.1628340273
480	0.1622998067
481	0.1616571458
482	0.1612621534
483	0.1611240295
484	0.1605031787
485	0.159817971
486	0.1593015676
487	0.1587692228
488	0.1585531225
489	0.15806679
490	0.1574684545
491	0.1571232041
492	0.1565313934
493	0.1560708932
494	0.1557965455
495	0.155311337
496	0.1549147513
497	0.1543474949
498	0.1539243282
499	0.1532685449
